Region,Country,Girls in need,Boys in need,Total children in need,Girls targeted,Boys targeted,Total children targeted,Girls reached,Boys reached,Total children reached,Female teacher in need,Male teachers in need,Total teachers in need,Female teachers targeted,Male teachers targeted,Total teachers targeted,Female teachers reached,Male teachers reached,Total teachers reached,Year
#region+name,#country+name,#inneed+f+children,#inneed+m+children,#inneed+children,#targeted+f+children,#targeted+m+children,#targeted+children,#reached+f+children,#reached+m+children,#reached+children,#inneed+f+teachers,#inneed+m+teachers,#inneed+teachers,#targeted+f+teachers,#targeted+m+teachers,#targeted+teachers,#reached+f+teachers,#reached+m+teachers,#reached+teachers,#date+year
West and Central Africa,Chad,299319,324260,623579,271645,282897,554542,248107,268782,516889,1820,9270,11090,970,4941,5911,32,163,195,2018
The Americas and Caribbean,Colombia,520000,480000,1000000,83200,76800,160000,83200,76800,160000,130000,70000,200000,3250,1750,5000,3250,1750,5000,2018
Eastern and Southern Africa,Ethiopia,1255684,13600324,14856008,1164237,1261257,2425494,642729,964093,1606822,860,1000,1860,420,500,920,500,1500,2000,2018
Middle East and North Africa,Iraq,1584000,1716000,3300000,253547,274675,528222,125822,160405,286227,,,,,,,,,,2018
Eastern and Southern Africa,Kenya,66927,89479,156406,189304,174742,364046,144817,175648,320465,100,465,565,400,1600,2000,,,,2018
Middle East and North Africa,Libya,147000,153000,300000,65391,68060,133451,54761,49559,104320,100000,100000,200000,60,60,120,29,140,169,2018
West and Central Africa,Mali,149940,149940,299880,87037,120193,207230,39448,83827,123275,3060,3060,6120,1658,2487,4145,519,2075,2594,2018
South Asia,Myanmar,88163,91762,179925,46235,46235,92470,37753,41413,79166,1937,1788,3725,1524,1406,2930,946,922,1868,2018
West and Central Africa,Niger,156007,169008,325015,89029,96449,185478,28813,55711,84524,2940,3060,6000,820,788,1608,572,715,1287,2018
West and Central Africa,Nigeria,1484884,1352580,2837464,946000,854000,1800000,393337,331604,724941,10000,15000,25000,16500,14500,31000,7063,10134,17197,2018
Middle East and North Africa,Occupied Palestinian Territories,235000,250000,485000,188000,200000,388000,190000,200000,390000,7000,5000,12000,1,1,2,2820,1995,4815,2018
Eastern and Southern Africa,Somalia,771474,1065370,1836844,166320,229680,396000,95030,111252,206282,2815,8435,11250,2815,8435,11250,1019,3060,4079,2018
Middle East and North Africa,South Sudan,708350,978197,1686547,283340,391279,674619,285540,400588,686128,1093,4372,5465,1093,4372,5465,3119,7062,10181,2018
Middle East and North Africa,Sudan,849230,849230,1698460,330000,330000,660000,196118,188428,384546,950,750,1700,2000,1060,3060,3242,2161,5403,2018
Europe and Central Asia,Ukraine,312620,325380,638000,94080,97920,192000,88008,91161,179169,58500,6500,65000,8820,980,9800,4438,493,4931,2018
Middle East and North Africa,Whole of Syria,3011153,3059720,6070873,1985024,2017041,4002065,1898684,2377505,4276189,156000,144000,300000,29524,27252,56776,53248,20430,73678,2018
Middle East and North Africa,Yemen,2084826,2618179,4703005,2084826,2618179,4703005,990725,1103939,2094664,56856,71402,128258,56856,71402,128258,9719,14334,24053,2018
